Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-22 00:00:00+05:30,146.13514276452966,146.91870921366925,143.51019037740204,144.9597930908203,31395991,0.0,0.0
2020-06-23 00:00:00+05:30,145.27320952050462,146.9187037854111,144.76389612989175,145.62582397460938,26546793,0.0,0.0
2020-06-24 00:00:00+05:30,146.8403445447274,152.56038188843078,145.86088650492457,150.3272247314453,54652978,0.0,0.0
2020-06-25 00:00:00+05:30,150.6406458076535,159.45576812409615,150.1705011682666,158.35877990722656,75574255,0.0,0.0
2020-06-26 00:00:00+05:30,161.41468347353518,164.0788045347632,151.46339227200423,152.95216369628906,71956002,0.0,0.0
2020-06-29 00:00:00+05:30,158.67217959559915,159.06396275509448,153.73570939470366,154.55845642089844,91503336,0.0,0.0
2020-06-30 00:00:00+05:30,156.24311921418513,156.24311921418513,152.01186587441683,152.52117919921875,41210494,0.0,0.0
2020-07-01 00:00:00+05:30,152.5211884390383,159.7300085750219,152.5211884390383,158.98561096191406,44297953,0.0,0.0
2020-07-02 00:00:00+05:30,160.20016466968647,162.00236996747213,158.7113931381063,161.2971649169922,39320871,0.0,0.0
2020-07-03 00:00:00+05:30,162.98181392041184,163.3735971269513,161.41468109425404,162.62921142578125,37893277,0.0,0.0
2020-07-06 00:00:00+05:30,165.05959926682897,166.3777616806834,163.90619301227696,164.60647583007812,34710176,878.5535,0.0
2020-07-07 00:00:00+05:30,164.7712147834218,165.18314282038037,159.82807833991916,160.03404235839844,31263172,0.0,0.0
2020-07-08 00:00:00+05:30,160.03406893832178,163.08233440388972,160.03406893832178,161.7229766845703,21274354,0.0,0.0
2020-07-09 00:00:00+05:30,162.21727878061188,162.29966942803,159.95167425813938,161.02268981933594,18769502,0.0,0.0
2020-07-10 00:00:00+05:30,160.77551464972652,161.88772542534218,159.8280851527551,160.11643981933594,16191544,0.0,0.0
2020-07-13 00:00:00+05:30,161.393422106365,163.74141726921053,160.73434721318878,162.75279235839844,20297515,0.0,0.0
